category,clue_count,topic,example_question,example_answer
WHAT'S THAT ON YOUR HEAD?,20,,"At her wedding, Kate Middleton wore a diamond one of these, her something borrowed (from the Queen)",a tiara
3 CONSECUTIVE LETTERS,20,,The returned portion of a movie ticket,the stub
PEACE,20,,"In 1749 author Henry Fielding became this ""of the peace"", protecting Westminster & Middlesex from criminal gangs",a justice
PUBLISHED POSTHUMOUSLY,20,,This Hemingway novel that shares its name with a Kenny Rogers/Dolly Parton song was published in 1970,Islands in the Stream
POP,20,,"His dad, Sir John, was killed by the ape Kerchak",Tarzan (of the Apes)
SOLVE THE MYSTERY TITLE,20,,"An Easy Rawlins mystery: ""___ in a Blue Dress""",Devil
SOUND,20,,In London in 2012 a gold medal in this sport went to Jike Zhang,table tennis (or ping pong)
3-NAMED PEOPLE,20,,"Born in what's now Maine in 1807, he's honored with a bust in a special section of Westminster Abbey",Henry Wadsworth Longfellow
ACCESSORIES,20,,Keep your iPhone from dying with a Jonathan Adler Stepped Diamonds one of these,a (re)charger
DIFFERS BY A VOWEL,20,,A place to sit & a group of grapes,bench & bunch
PUZZLERS,20,,"Enough of the same complaint, you sound like this",a broken record
RANDOM FACTS,20,,"( Hi, I'm Penn Jillette. ) When a magician dies, a wand is sometimes broken at his funeral to symbolize his loss of magical power; the first broken wand ceremony was performed by the Society of American Magicians in 1926 at the memorial service for this famous escapologist",(Harry) Houdini
"BLANK ""UM""",20,,"On TLC Theresa Caputo, who claims to talk to dead people, is the ""Long Island"" this",medium
ARTS & CULTURE,20,,Shoichi Yabuta was tops in composing in the 2015 music competition held annually in this Swiss city since 1939,Geneva
"BILLS, BILLS, BILLS",20,,The very tip of the fluke on this heavy nautical item is sometimes called the bill,an anchor
WHOSE WHAT?,20,,"In 1894 a throng of unemployed men known as ""Coxey's Army"" marched to this city to demand jobs & public spending","Washington, D.C."
NAMED FOR A PLACE,20,,"Homer's ""Iliad"" takes its name from Ilium, Latin for this city",Troy
3 CONSECUTIVE VOWELS,20,,A pig's typical exclamation,squeal
AROUND THE CARIBBEAN,20,,"White sand beaches are an attraction of this ""A"" of the Caribbean's ABC islands",Aruba
Y IS THE ONLY VOWEL,20,,A traditional story in a culture,a myth
"4,4",20,,"Designation for the thigh & leg of a roasted chicken, as opposed to the breast",dark meat
TOUGH VOCAB,20,,"In film when characters explain the plot verbally, it's called this, also the name of a big public fair",exposition
MONOPOLY,19,,It's where you go when you throw doubles 3 times in a row,jail
MONSTER MASH,19,,"When this doctor's monster first appeared on screen in 1931, some moviegoers ran screaming from the theater",Dr. Frankenstein
NEW ZEALAND,19,,"Not the kakapo, a flightless parrot, but this bird is the national symbol",Kiwi
HIGH WATER,19,,"In December 1999 her tomb at the foot of the Mount of Olives flooded, ruining many icons",Virgin Mary
FOREWORDS,19,,"This author said that he would have offered the savage a third alternative if he were to rewrite ""Brave New World""",Aldous Huxley
LET'S GO ONLINE,19,,"There's no place like this cozy page, the first page of a website",the home page
STATES' LOWEST POINTS,19,,8 feet below sea level at New Orleans,Louisiana
FEMINISM,19,,"The 1848 feminist ""Declaration of Sentiments"" adds these 2 words to 1776's ""All men are created equal""","""and women"""
TOP O' THE CHARTS,19,,"When their ""MmmBop"" reached No. 1 in May 1997, they became the first artists born in the 1980s to have a No. 1 single",Hanson
A SHAPELY CATEGORY,19,,"In the White House, the Blue Room & the President's Office are this shape",oval
FIREFIGHTING,19,,"The firefighting museum in Phoenix, Arizona isn't called the Hall of Fame, but the hall of this",the Hall of Flame
SONNETS,19,,"He wrote, ""Shall I compare thee to a summer's day? Thou art more lovely and more temperate""",Shakespeare
CAPES,19,,"Barnstable, Massachusetts, including the village of Hyannis, is the largest city on this hook-shaped peninsula",Cape Cod
ROCKET MAN,19,,Alexei Leonov said he was given a pill to help him do this in case he couldn't get back in Voskhod after the spacewalk,commit suicide
POTLUCK,19,,This cowboy neckerchief could be used as a mask if one were criminally inclined,bandana
LET'S GET TOGETHER,19,,The Friars Club is known for these gatherings in which the honorees get lovingly insulted,roasts
THE JEOPARDY! TIME MACHINE,19,,Maybe you can help those Scotland Yard bozos catch him in 1888; here's a sketch to work with,Jack the Ripper
GEORGIA ON MY MIND,19,,"Oglethorpe is the seat of this county whose ""line"" was featured in a 1974 film",Macon
PRISONS,19,,You didn't get sent directly to this prison that closed in 1963; other U.S. prisons sent their worst prisoners there,Alcatraz
THE LAST,19,,"Ordered by Texas inmate Stanley Baker, Jr., it included 2 16-oz. ribeyes, 2 potatoes & a pint of ice cream",his last meal
BORN TO RUN,19,,"At the 1936 Berlin games, he ran a 10.3 in the 100 meters, tying the Olympic record",Jesse Owens
OCTOBERFEST,19,,"He first appeared in the comic strip ""Peanuts"" in October 1950 but didn't walk on 2 legs until 1956",Snoopy
PUBLISHING,19,,"Last name of 19th century brothers James & John; it's been paired with Row &, now, with Collins",Harper
MEDICATIONS,19,,"Levothyroxine, sold under brand names like Unithroid & Synthroid, treats this gland when it's underactive",the thyroid
COATS OF ARMS,19,,"On Guyana's coat of arms, a white shield is bordered by 2 of these felines, the largest cat in the New World",the jaguar
DIAMONDS ARE FOREVER,19,,Sanguinary term for a diamond sold to finance military operations,a blood diamond
JUST THE FACTS,19,,This hero of several books is 11 when he discovers he's a wizard,Harry Potter
3 CONSECUTIVE CONSONANTS,19,,You do this to different watches to match the time,synchronize
FROM C TO D,19,,koa.com helps you find this type of place to put up your tent,campground
THE HOLE TRUTH,18,,Legend says Capt. Hanson Gregory invented this hole when he had his mom remove the soggy center from her fried cake,Doughnut hole
"FROM ""C"" TO SHINING ""C""",18,,This word for stylish or elegant can describe an outfit or a restaurant,chic
LAST BUT NOT LEAST,18,,"The last public execution by this method took place on June 17, 1939 in Versailles, France",guillotine
THE 1890S,18,,His psychoanalytic method of free association & his daughter Anna first saw the light in 1895,Sigmund Freud
"""W""",18,,"In some cultures, instead of becoming this creature of the full moon, men become hyenas instead",werewolf
SINGING,18,,"( Cheryl of the Clue Crew presents the clue. ) In bel canto technique you contract the upper abs to control this, the main muscle in respiration",the diaphragm
FOREIGN EXCHANGE,18,,The watermark on Egypt's 10-piastre bill is a statue of this ancient boy king,Tutankhamun
PROLOGUES,18,,"The prologue to this book, the first part of ""The Lord of the Rings"", says it ""is largely concerned with hobbits""",The Fellowship of the Ring
ON THE WALL,18,,...of Madonna's house are works by this woman who died in Coyoacan 4 years before Madonna was born,Frida Kahlo
OLYMPIANS,18,,In 1996 this former U.S. Olympic boxer lit the flame at the start of the Summer Olympics in Atlanta,Muhammad Ali
THE LIBERTY BELL,17,,"This frontiersman ""Went off to Congress and served a spell...an' patched up the crack in the Liberty Bell""",Davy Crockett
TEXTILES,17,,This synthetic material is named for the sports venue where it was installed in 1966,AstroTurf (for the Houston Astrodome)
FAMOUS FIRSTS,17,,"The world's first one of these opened in 1925; it was in San Luis Obispo, Ca. & had parking in front of each door",a motel
NATURAL WONDERS,17,,"Wonder why the saber-toothed cat had these ""doggy"" teeth, 7 inches long",canines
DESIGN,17,,"Introduced to desktops in 1950, it was designed by Arnold Neustadter & featured a ball-bearing clutch",Rolodex
FRANCE,17,,"Of France's 22 official regions, this one extends the farthest west",Brittany
DECLARATION OF INDEPENDENCE SIGNERS,17,,"On the list of the signers, 2 of the 3 last names that appear twice","(2 of) Adams, Lee & Morris"
ARTY FACTS,17,,"Seen here , the Japanese footbridge was painted by this modern master around 1899",Monet
COME UP TO THE LAB,17,,"He had laboratories at Menlo Park & West Orange, New Jersey",Edison
HERALDRY,17,,"Also meaning someone renting from you, it's the heraldic term for a human figure holding up a coat of arms",a tenant
THE COUNTY LINE,17,,"Oklahoma is rich in double-E counties like Cherokee, Pawnee & this one from a Merle Haggard title",Muskogee
ECOLOGY,16,,Former Monty Python member John Cleese has joined a campaign to save this bird from extinction,Parrot
WEEDS,16,,The most common cause of hay fever in the U.S. is this substance from ragweed,Pollen
AMERICA,16,,"Among state capitals, it's first alphabetically","Albany, New York"
MACHINES,16,,This brand name comes from machines devised by Benjamin Holt to crawl over soft farmland,Caterpillar
THE KNIGHTS TEMPLAR,16,,One of the 3 vows taken by each man who became a Templar Knight,"Chastity, Obedience or Poverty"
DRUGS,16,,The Salk vaccine prevents this crippling disease,Polio
CLASSICAL CLASSICS,16,,This man's sixth symphony is known as the Pastoral Symphony,Beethoven
NEW ORLEANS,16,,"It's the term for a French-Spanish ethnic mix, or for a New Orleans dish of shrimp simmered with tomatoes",creole
JOBS,16,,"In this job, after the Senate confirms you, you sign your name at least 5 times, then pick one to be engraved",U.S. Treasurer or U.S. Treasury Secretary
WEDDINGS,16,,It's the job of the lad seen here,ringbearer
MOTTOES,16,,"This international sports competition's motto is ""Faster, higher, stronger""",the Olympics
STRUCTURES,16,,"( I'm Tom Silva, general contractor. ) For our 25th anniversary project, renovating a farmstead, we converted this 39x50' building into living space",a barn
RECORD LABELS,16,,Between July 1954 & August 1955 this Memphis label released 5 Elvis Presley singles,Sun Records
WORLD OF WATER,16,,"Tugela, a set of these in South Africa, totals over 5 Washington Monuments high",waterfalls
NOTIONS,16,,His notion that the Sun was the center of the solar system was published in 1543,Copernicus
IT'S A DISASTER!,15,,A lack of food; Ireland had a potato one in the 1840s,Famine
IN THE COOKIE JAR,15,,These sun-dried grapes can be found in oatmeal cookies,Raisins
FROM Z TO A,15,,An embarrassed one of these may be black & white & red all over,Zebra
JULIUS CAESAR,15,,"Julius declared ""The die is cast"" & crossed this river, provoking the Roman Civil War",Rubicon
LOVE'S LABOUR'S LOST,15,,This character's doomed love for Ann Darrow ends tragically at the foot of the Empire State Building,King Kong
THEY'RE IN CHARGE,15,,Middle Eastern prime minister Ehud Barak,Israel
WAY TO GO,15,,In the late 1700s a French doctor proposed a mechanical device for lopping off heads & voila -- this was named for him,guillotine
CALIFORNIA DREAMIN',15,,This newspaper tycoon's former estate near San Luis Obispo includes a Roman temple & ancient works of art,William Randolph Hearst
SEASONS,15,,"The depression or ""blues"" brought on by seasonal affective disorder is strongest during this season",Winter
SOUTH DAKOTA,15,,The capitol building is on a 30-acre tract in this city overlooking the Missouri River,Pierre
BLACK AMERICANS,15,,In May 1999 he won the release of 3 U.S. soldiers held captive in Serbia,Rev. Jesse Jackson
THE SHORT VERSION,15,,To an usher: SRO,standing room only
WATER,15,,"Measuring volume, not weight, Gay-Lussac & Humboldt found the proportions in this formula for water",H2O
REMEMBER THE '80S?,15,,"On May 13, 1981 a Turkish assailant made an assassination attempt on this man in the Vatican",Pope John Paul II
HIRSCHFELD,15,,"Say ""Hello"" to this ""Dolly"" portrayed here",Carol Channing
SUPERSTITIONS,15,,"Bite your tongue while eating & it means you've done this, though not necessarily ""under oath""",lie
TURKEY,15,,"Just a thrace of Turkey, about 3% of its area, is on this continent",Europe
THE PILGRIMS,15,,"After a rough 66-day voyage, the Mayflower set anchor in Provincetown Harbor off this cape",Cape Cod
DENTISTRY,15,,The more common name for your gingiva; you can flap 'em,Gums
SAY YOUR PRAYERS,15,,"After Darius' men caught Daniel praying, they had him thrown into this place",The lion's den
GUINNESS,15,,The company began in 1759 when Arthur Guinness established a brewery in this capital city,Dublin
INDIANA JONES,15,,"Originating in 1911, this annual Indiana event is attended by 400,000 people",Indianapolis 500
DISCOGRAPHIES,15,,"""Zenyatta Mondatta"", ""Ghost in the Machine"", ""Synchronicity""",The Police
